location,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow
lat,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006
lon,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523
asl,58.954,58.954,58.954,58.954,58.954,58.954,58.954,58.954
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Wind Speed,Wind Direction,Wind Speed,Wind Direction
unit,°C,%,hPa,mm,km/h,°,km/h,°
level,2 m elevation corrected,2 m,MSL,sfc,10 m,10 m,80 m,80 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None
timestamp,Glasgow Temperature (°C) [2 m elevation corrected],Glasgow Relative Humidity (%) [2 m],Glasgow Mean Sea Level Pressure (hPa) [MSL],Glasgow Precipitation Total (mm) ,Glasgow Wind Speed (km/h) [10 m],Glasgow Wind Direction (°) [10 m],Glasgow Wind Speed (km/h) [80 m],Glasgow Wind Direction (°) [80 m]
20200716T0600,12.6231985,93.0,1016.1,0.0,8.827452,264.80557,18.359999,270.0
20200716T0700,14.173199,87.0,1016.2,0.0,10.17913,263.991,15.905319,264.80557
20200716T0800,15.353198,83.0,1016.6,0.0,12.566062,265.1355,18.775301,265.6013
20200716T0900,16.303198,79.0,1017.0,0.0,14.12925,267.83893,21.611998,268.09085
20200716T1000,17.103197,77.0,1017.3,0.0,14.920779,268.977,22.682856,269.09064
20200716T1100,17.873198,76.0,1017.2,0.0,15.453498,269.01224,23.039999,270.0
20200716T1200,18.743198,74.0,1017.3,0.0,15.984,270.0,23.759998,270.0
20200716T1300,18.923197,74.0,1017.5,0.0,15.992876,268.09085,24.490587,268.3153
20200716T1400,18.703197,75.0,1017.2,0.0,14.930289,254.47589,22.702845,255.30269
20200716T1500,18.833197,74.0,1017.2,0.0,17.4812,262.11688,26.525429,262.19983
20200716T1600,19.263197,72.0,1017.9,0.0,17.945948,264.03552,27.153164,263.91147
20200716T1700,18.983198,74.0,1018.0,0.0,17.05168,270.89517,26.642431,270.77423
20200716T1800,18.213198,76.0,1017.5,0.0,17.037107,279.90417,26.27753,279.46234
20200716T1900,17.453197,75.0,1017.6,0.0,16.993313,279.01932,26.525429,277.8002
20200716T2000,16.643198,76.0,1017.6,0.0,15.773939,274.844,26.042212,275.55298
20200716T2100,15.733198,80.0,1017.4,0.0,14.425013,274.2364,24.546085,274.20535
20200716T2200,15.093199,84.0,1017.6,0.0,11.91377,259.69516,20.833395,260.04938
20200716T2300,14.743198,87.0,1017.6,0.0,10.010403,244.79889,18.057508,246.50143
20200717T0000,14.713199,89.0,1017.2,0.0,10.248612,242.10274,19.161337,244.39783
20200717T0100,14.463199,91.0,1017.1,0.0,12.038215,245.1363,23.210928,246.21799
20200717T0200,14.583199,91.0,1016.0,0.0,13.250555,239.82648,25.630886,240.55457
20200717T0300,14.743198,91.0,1015.6,0.0,14.777397,236.02347,28.056913,236.51382
20200717T0400,14.743198,91.0,1015.0,0.0,15.672383,238.20108,29.574827,238.4382
20200717T0500,14.603198,91.0,1014.5,0.0,16.10784,235.7843,30.154163,236.68938
20200717T0600,14.453198,91.0,1014.7,0.0,16.406866,237.60016,30.376833,238.57043
20200717T0700,14.463199,91.0,1014.4,0.7,15.733395,241.69925,28.337282,242.78389
20200717T0800,14.803199,90.0,1014.5,0.3,13.56549,250.49756,23.565567,251.28827
20200717T0900,15.553199,87.0,1014.7,0.0,11.724627,268.69806,17.643673,268.83087
20200717T1000,15.473199,85.0,1015.0,0.0,11.380612,290.55603,15.978484,292.52057
20200717T1100,15.513199,81.0,1015.3,0.2,11.724627,291.31793,17.193533,289.57312
20200717T1200,15.243198,79.0,1015.6,0.0,11.308671,285.01837,16.327497,284.03625
20200717T1300,15.413198,75.0,1015.6,0.0,11.733703,272.60257,16.563911,271.24536
20200717T1400,15.083199,73.0,1015.5,0.0,8.014169,254.57785,11.874544,255.96376
20200717T1500,15.043199,74.0,1015.5,0.0,8.343893,253.30075,12.0694,252.64598
20200717T1600,15.113198,74.0,1015.5,0.0,9.531016,243.43495,14.007655,244.09349
20200717T1700,15.753199,74.0,1014.9,0.0,10.196545,236.72511,13.891522,238.7816
20200717T1800,16.343197,73.0,1014.7,0.0,10.279727,238.7816,14.021525,240.80252
20200717T1900,16.163198,75.0,1014.5,0.0,10.290077,248.7495,14.578888,249.77515
20200717T2000,16.083199,75.0,1014.0,0.0,9.369556,255.17352,13.450708,254.47589
20200717T2100,15.313198,78.0,1013.6,0.0,8.935328,259.69516,13.979871,258.11133
20200717T2200,14.523198,82.0,1014.2,0.0,7.463956,267.9546,13.397612,263.82983
20200717T2300,14.103198,84.0,1014.6,0.0,7.501892,286.50436,12.313893,285.25513
20200718T0000,13.493198,85.0,1014.6,0.0,8.710098,293.42868,14.658676,294.67688
20200718T0100,12.803199,84.0,1014.5,0.0,8.710098,293.42868,15.509274,291.8014
20200718T0200,12.323198,85.0,1014.1,0.0,7.5818768,251.56506,14.003029,252.03087
20200718T0300,11.843199,87.0,1013.7,0.0,7.6285353,257.90524,15.463244,257.90524
20200718T0400,11.163198,90.0,1013.6,0.0,7.0533133,259.11447,15.328561,260.5377
20200718T0500,10.223199,93.0,1013.4,0.0,6.791894,258.69006,16.263872,264.9204
20200718T0600,10.183199,91.0,1013.7,0.0,6.1963058,244.53665,15.844089,248.6821
20200718T0700,11.403198,85.0,1013.2,0.0,8.819409,244.98311,14.84318,247.16635
20200718T0800,12.743198,77.0,1013.4,0.0,11.389962,259.2157,17.935081,259.5923
20200718T0900,13.733198,71.0,1014.1,0.0,13.3625555,265.4261,19.881649,264.80557
20200718T1000,13.6231985,70.0,1014.7,0.0,15.187136,268.9949,23.051247,268.21008
20200718T1100,13.723199,70.0,1014.7,0.0,15.7176,270.0,24.119999,270.0
20200718T1200,14.153198,68.0,1014.5,0.0,15.753682,273.87854,23.444265,273.52145
20200718T1300,14.403198,67.0,1014.4,0.0,16.791655,271.8183,25.210283,271.6366
20200718T1400,15.433199,63.0,1014.2,0.0,19.271236,275.55298,28.943642,275.7106
20200718T1500,15.8731985,59.0,1014.3,0.0,20.277922,279.83356,31.072817,280.008
20200718T1600,15.823198,58.0,1014.8,0.0,19.837412,284.7827,30.563978,285.01837
20200718T1700,15.823198,58.0,1015.1,0.0,19.628819,288.18906,29.830078,287.56027
20200718T1800,15.333199,58.0,1015.6,0.0,18.619434,289.21268,28.916763,288.88608
20200718T1900,14.613198,61.0,1015.8,0.0,18.117159,287.10272,28.348713,287.7447
20200718T2000,13.833199,65.0,1015.8,0.0,17.274965,287.03778,27.553526,287.48798
20200718T2100,12.723199,70.0,1016.2,0.0,15.003784,286.50436,25.171696,286.62076
20200718T2200,11.973199,74.0,1017.3,0.0,13.505193,284.8586,24.72495,286.06
20200718T2300,11.413198,78.0,1017.7,0.0,12.859146,283.17255,24.18707,284.65674
20200719T0000,10.853198,82.0,1017.6,0.0,11.91377,280.30487,23.313995,283.39252
20200719T0100,10.533198,85.0,1017.6,0.0,11.003319,276.95297,21.897945,279.46234
20200719T0200,9.563198,89.0,1017.5,0.0,7.730192,271.9749,15.876775,273.9005
20200719T0300,8.883199,90.0,1017.3,0.0,8.528962,271.78992,20.06334,279.2933
20200719T0400,8.483198,91.0,1017.3,0.0,8.5248,270.0,21.188072,279.7824
20200719T0500,8.113198,93.0,1017.3,0.0,7.7256002,270.0,20.345573,283.29858
20200719T0600,8.903198,88.0,1017.4,0.0,8.528962,271.78992,22.206486,286.96616
20200719T0700,10.983198,76.0,1017.2,0.0,12.859146,283.17255,24.1388,287.35403
20200719T0800,11.963199,70.0,1017.4,0.0,15.959562,284.50018,26.807312,284.7827
20200719T0900,12.723199,68.0,1018.1,0.0,17.057922,284.47028,27.595825,285.12402
20200719T1000,13.343199,67.0,1018.1,0.0,18.197283,287.90445,28.348713,287.7447
20200719T1100,13.513199,67.0,1018.5,0.0,18.619434,289.21268,28.696312,289.7989
20200719T1200,13.583199,68.0,1018.7,0.0,19.123363,288.68735,29.714724,289.0935
20200719T1300,14.073198,65.0,1019.1,0.0,19.210377,289.44003,29.035288,289.55826
20200719T1400,14.663198,63.0,1018.6,0.0,21.670294,290.8858,33.497414,290.77228
20200719T1500,14.503199,63.0,1018.9,0.0,21.76669,291.541,34.56187,292.02307
20200719T1600,14.933199,61.0,1019.0,0.0,21.272003,292.0679,33.56312,292.71442
20200719T1700,15.323198,59.0,1019.3,0.0,21.099485,294.62357,33.014175,295.16788
20200719T1800,14.813198,61.0,1019.2,0.0,20.020805,295.2011,31.235058,295.97443
20200719T1900,14.273198,64.0,1019.6,0.0,19.540035,295.86633,30.589407,296.56506
20200719T2000,13.383199,67.0,1020.0,0.0,18.123034,294.30457,29.644857,294.38638
20200719T2100,12.443198,72.0,1020.7,0.0,16.374392,291.97452,27.748037,292.90576
20200719T2200,11.513199,78.0,1021.1,0.0,14.659262,289.0935,26.081993,290.1858
20200719T2300,10.993198,82.0,1022.0,0.0,13.064468,286.58734,24.821732,289.48615
